site_id,model_id,reference_datetime,datetime,variable,crps,horizon
BARR,XGBoost,2024-02-13,2024-03-17,nee,0.0450944556799177,33
BARR,XGBoost,2024-02-13,2024-03-18,nee,0.07758796581490532,34
BARR,XGBoost,2024-02-14,2024-03-14,nee,0.049415056802650015,29
BARR,XGBoost,2024-02-14,2024-03-16,nee,0.07275833916556818,31
BARR,XGBoost,2024-02-14,2024-03-17,nee,0.059816142652568516,32
BARR,XGBoost,2024-02-14,2024-03-18,nee,0.07607856294819453,33
BARR,XGBoost,2024-02-14,2024-03-19,nee,0.07282593525208132,34
BARR,XGBoost,2024-02-15,2024-03-14,nee,0.0622026068266585,28
BARR,XGBoost,2024-02-15,2024-03-16,nee,0.06608421475055096,30
BARR,XGBoost,2024-02-15,2024-03-17,nee,0.08153841886840953,31
BARR,XGBoost,2024-02-15,2024-03-18,nee,0.10134220743912901,32
BARR,XGBoost,2024-02-15,2024-03-19,nee,0.0566632972753371,33
BARR,XGBoost,2024-02-15,2024-03-20,nee,0.16016934905956776,34
BARR,XGBoost,2024-02-16,2024-03-14,nee,0.06510503081915445,27
BARR,XGBoost,2024-02-16,2024-03-16,nee,0.06975452460876719,29
BARR,XGBoost,2024-02-16,2024-03-17,nee,0.06516930124391535,30
BARR,XGBoost,2024-02-16,2024-03-18,nee,0.10887917169825431,31
BARR,XGBoost,2024-02-16,2024-03-19,nee,0.0731862734980338,32
BARR,XGBoost,2024-02-16,2024-03-20,nee,0.14957665027321676,33
BARR,XGBoost,2024-02-16,2024-03-21,nee,0.07019954598944261,34
BARR,XGBoost,2024-02-17,2024-03-14,nee,0.062042209934587006,26
BARR,XGBoost,2024-02-17,2024-03-16,nee,0.03909368492529369,28
BARR,XGBoost,2024-02-17,2024-03-17,nee,0.056253791261339836,29
BARR,XGBoost,2024-02-17,2024-03-18,nee,0.06934502992776959,30
BARR,XGBoost,2024-02-17,2024-03-19,nee,0.05647575720299371,31
BARR,XGBoost,2024-02-17,2024-03-20,nee,0.12916179224704624,32
BARR,XGBoost,2024-02-17,2024-03-21,nee,0.053529715907531486,33
BARR,XGBoost,2024-02-17,2024-03-22,nee,0.055905074086603695,34
BARR,XGBoost,2024-02-18,2024-03-14,nee,0.08486821381660599,25
BARR,XGBoost,2024-02-18,2024-03-16,nee,0.09191201764592316,27
BARR,XGBoost,2024-02-18,2024-03-17,nee,0.07177824309445353,28
BARR,XGBoost,2024-02-18,2024-03-18,nee,0.13197239186950557,29
BARR,XGBoost,2024-02-18,2024-03-19,nee,0.07986768360753599,30
BARR,XGBoost,2024-02-18,2024-03-20,nee,0.18022783477087712,31
BARR,XGBoost,2024-02-18,2024-03-21,nee,0.07892552197768013,32
BARR,XGBoost,2024-02-18,2024-03-22,nee,0.06626637517526383,33
BARR,XGBoost,2024-02-19,2024-03-14,nee,0.0777641868640363,24
BARR,XGBoost,2024-02-19,2024-03-16,nee,0.07599639834541731,26
BARR,XGBoost,2024-02-19,2024-03-17,nee,0.0942812858939895,27
BARR,XGBoost,2024-02-19,2024-03-18,nee,0.1109270463257404,28
BARR,XGBoost,2024-02-19,2024-03-19,nee,0.0781754934981426,29
BARR,XGBoost,2024-02-19,2024-03-20,nee,0.1677551586428671,30
BARR,XGBoost,2024-02-19,2024-03-21,nee,0.08645039317369495,31
BARR,XGBoost,2024-02-19,2024-03-22,nee,0.07036835431278718,32
BARR,XGBoost,2024-02-19,2024-03-24,nee,0.13042352025372722,34
BARR,XGBoost,2024-02-20,2024-03-14,nee,0.06782445605210938,23
BARR,XGBoost,2024-02-20,2024-03-16,nee,0.0738339213906183,25
BARR,XGBoost,2024-02-20,2024-03-17,nee,0.07285999283850657,26
BARR,XGBoost,2024-02-20,2024-03-18,nee,0.10504381763955788,27
BARR,XGBoost,2024-02-20,2024-03-19,nee,0.056732926419108674,28
BARR,XGBoost,2024-02-20,2024-03-20,nee,0.17302706322473704,29
BARR,XGBoost,2024-02-20,2024-03-21,nee,0.07273373764160795,30
BARR,XGBoost,2024-02-20,2024-03-22,nee,0.07498634663584,31
BARR,XGBoost,2024-02-20,2024-03-24,nee,0.09952967045932384,33
BARR,XGBoost,2024-02-20,2024-03-25,nee,0.0654547508463557,34
BARR,XGBoost,2024-02-21,2024-03-14,nee,0.07498382837530977,22
